day,bitcoin,ethereum,tether,usd-coin,binancecoin,binance-usd,ripple,cardano,solana,dogecoin,polkadot,shiba-inu,staked-ether,avalanche-2,dai,matic-network
2022-07-24,1.0,0.7009588708068133,-0.0,-0.0,0.29513768292544307,-0.0,-0.0,-0.0,0.3792707681080708,-0.0,0.69629628273453,-0.44297448337392475,0.47409805748373357,-0.4332804651839751,-0.0,-0.0
2022-07-25,1.0,0.5187657612137674,-1.285452281922871,-1.285452281922871,-0.335674335272529,-1.285452281922871,-0.0,1.2295630522740506,0.5353665405781246,-0.0,0.3469932540159885,-0.0,0.5463264997210767,1.450253856528361,-1.285452281922871,0.7251269282641812
2022-07-26,1.0,0.8969592755454009,-1.0874008950306497,-1.0874008950306497,-0.13630137516430632,-1.0874008950306497,-0.0,-0.0,0.7775198109545576,-0.0,0.3145939696315077,0.24910578272614387,0.9411303210760693,0.9872455494357204,-1.0874008950306497,1.3519038154435108
2022-07-27,1.0,0.9460925205797281,-1.1143288041105848,-1.1143288041105848,0.2522791262235201,-1.1143288041105848,0.0,0.0,0.35967576462624873,0.0,0.08490124221794902,0.053594972542392635,0.9330524279744216,0.9794737259061178,-1.1143288041105848,1.1461667699423173
2022-07-28,1.0,0.8436528654441185,-0.9922614892417311,-0.9922614892417311,-0.3780364655107733,-0.9922614892417311,-1.364359547707378,-0.9922614892417311,0.3904918266952453,0.0,1.02970531902444,0.17675913168678997,0.5535389081374152,0.021656500757258168,-0.9922614892417311,1.1489343559641096
2022-07-29,1.0,-0.8514670975797338,0.0,0.0,12.90073840314779,0.0,-11.44111538461537,0.0,-0.10353950574313939,0.0,7.189583081570992,-3.295041230769257,-0.8121834499858634,3.813705128205122,0.0,0.0
2022-07-30,1.0,-0.8735618506487359,-0.8742769709338436,-0.8742769709338436,-0.9588298694767751,-0.8742769709338436,2.4479755186147663,0.0,2.5360020355512587,0.0,1.0674311854424832,1.1217810421350811,-0.8696975197082752,0.5373604796959184,-0.8742769709338436,0.0
2022-07-31,1.0,-0.8036057211141258,-0.0,-0.0,-0.39875537510280024,-0.0,-0.0,-0.0,0.9644876270721807,-0.0,-3.0025291095550783,-0.0,-0.5773225503236683,0.04263029390785448,-0.0,-1.1291562463284106
2022-08-01,1.0,0.42457366710326555,-1.2061554110348094,-1.2061554110348094,-0.04373937474437589,-1.2061554110348094,-0.0,-0.0,0.6897947612127161,-0.0,1.6039639239090848,-0.551726534552554,0.39678897113862427,0.6607633990886318,-1.2061554110348094,0.633231590793277
2022-08-02,1.0,1.5740724231010248,-3.687315757361686,-3.687315757361686,3.2874280271539815,-3.687315757361686,0.0,0.0,0.7246985743111743,0.0,-4.9990499343503085,-0.3144222738835544,1.0255225000975359,0.4819066138334041,-3.687315757361686,-4.1600485467670305
2022-08-03,1.0,-0.3210005575067174,0.0,0.0,1.8525595729403408,0.0,0.0,0.0,-2.044097195628058,0.0,1.3248231101722279,-0.17801506645420992,-0.39434550593961726,0.7283238071413558,0.0,1.2062863055778705
2022-08-04,1.0,-0.12602624693769265,-0.6153112877375444,-0.6153112877375444,-1.1323803971140858,-0.6153112877375444,-0.0,-0.0,0.061854787545798075,-0.0,0.14822624858663536,-0.4134122714486624,-0.06305382683239764,-0.12931762156751983,-0.6153112877375444,-0.6784201377619126
2022-08-05,1.0,2.253983470405708,-1.6224923202137669,-1.6224923202137669,-0.1646211933012078,0.0,0.0,0.0,1.1528234906782031,0.0,3.4963566900380996,0.2802769842979615,1.6880810833432387,1.6996039823771645,-1.6224923202137669,-1.8253038602404879
2022-08-06,1.0,0.6761772511599277,-1.9907370725604727,-1.9907370725604727,0.9454948447606947,-1.9907370725604727,0.0,0.0,0.5527921647270604,0.0,0.4709270494229075,-0.5024422439349565,0.8001511144288369,7.804444106265543,-1.9907370725604727,2.245959774170805
2022-08-07,1.0,-4.823915043344553,0.0,0.0,10.040715561584285,0.0,0.0,0.0,-2.154047835215376,0.0,15.26073405836027,1.8230549356807855,-6.953495997866954,47.886212629897976,0.0,0.0
2022-08-08,1.0,0.1107332070217118,-0.6903009800264368,-0.6903009800264368,-0.7011550807319031,-0.6903009800264368,0.0,0.0,0.23665215830063607,0.0,0.7067367176461069,-0.22833032416258897,0.1465010151094547,-0.14804459920766777,-0.6903009800264368,-0.7420735535284195
2022-08-09,1.0,0.6014007543162824,-0.6392446118769718,-0.6392446118769718,-0.47691012491347606,-0.6392446118769718,-0.0,-0.0,0.5445283679763254,-0.0,0.48437607188615756,0.830894350447431,0.4846987317816098,0.17943708403563996,-0.6392446118769718,0.6884172743290419
2022-08-10,1.0,2.431194563233875,-1.1473722260952153,-1.1473722260952153,0.04624232692048879,-1.1473722260952153,0.0,0.0,0.3681866098663733,0.0,2.8563529628580757,2.4018014955989018,2.4927567765878944,1.0373634508430232,-1.1473722260952153,1.2983422558445767
2022-08-11,1.0,0.6345323040147278,-1.0988687721803607,-1.0988687721803607,-1.0714506969361155,-1.0988687721803607,0.0,0.0,1.1610688913603897,0.0,-2.284776655028479,-0.5345848080877428,0.9831999356915438,-0.8349956788607407,-1.0988687721803607,-1.1833971392711577
2022-08-12,1.0,6.0813975835643115,0.0,0.0,-2.2541475250640914,0.0,0.0,0.0,2.734192579382531,0.0,5.093410176449896,2.8613272148830475,6.335176486065405,3.281946306164323,0.0,0.0
2022-08-13,1.0,1.821000292562663,0.0,0.0,-0.7796008056719642,0.0,0.0,4.583562079501432,3.4451285478248335,0.0,-0.777673771843435,-0.3893373194943286,2.329255064999016,-1.0033668233734534,0.0,10.614564815687508
2022-08-14,1.0,2.5889613855618214,-0.0,-0.0,1.3817869804815852,-0.0,-0.0,-0.0,3.391090672701866,-0.0,4.754225202391643,-41.53143151981933,2.990030459261317,3.055148074691274,-0.0,-0.0
2022-08-15,1.0,1.5073780913331076,-0.0,-0.0,-0.7911942437030894,-0.0,8.667532939767288,-0.0,2.7601826252513337,-0.0,1.1274839596445334,5.426629318810832,1.5263805104766845,2.020196195044316,-0.0,3.38245187893357
2022-08-16,1.0,0.4250177336287894,-0.0,-0.0,0.4641024835270905,-0.0,-0.0,-0.0,1.119296033393373,-31.001108318834795,-0.5082148904727002,-2.1201365871543483,0.660713742925088,0.9671056321300345,-0.0,2.3250831239126195
2022-08-17,1.0,-0.33906078897575237,-1.3807080151967805,-1.3807080151967805,-0.07036521964297401,-1.3807080151967805,-0.0,2.4162390265943574,1.1900278733309948,-0.0,1.4105611614713,1.1184964040021401,-0.4104553267008702,0.7616865582959461,-0.0,-0.0
2022-08-18,1.0,-17.741805472653052,-0.0,-0.0,20.510888339635024,-0.0,-0.0,-0.0,7.739582352358976,308.17609730301655,10.215782231039288,91.51896222938076,-15.530411674833989,47.158619871991945,-0.0,31.60780485159136
2022-08-19,1.0,0.07742348273925653,-1.0944177081757025,-1.0944177081757025,-0.3448047175585117,-1.0944177081757025,-0.0,0.511521320125601,0.04040637789200607,-0.0,0.26217248719529324,-0.38510606752500287,0.0836484639310103,0.2170662428577255,-1.0944177081757025,0.3096050095497069
2022-08-20,1.0,7.156189440776884,-0.0,-0.0,1.136174573776337,-0.0,-0.0,5.414178482068437,4.095539023685,-0.0,3.0454753961634946,5.465578910695666,7.455438965095083,3.0995668633402724,-0.0,3.219241259608249
2022-08-21,1.0,0.5219674958092224,-0.893883692114979,-0.893883692114979,1.7771698286394841,-0.893883692114979,0.0,2.043162724834231,1.3041464201069528,0.0,0.7571720686150357,1.2096336530113132,0.5841271437901095,1.0706015813430794,-0.893883692114979,1.1596328978788917
2022-08-22,1.0,0.8255527462018206,-1.8505170906032826,-1.8505170906032826,-0.26337047094641386,-0.9252585453016382,-0.0,1.9346315038125228,1.5856885063773807,-0.0,0.4920450067500041,0.7527022892646832,0.6806192532925094,1.0342142244680015,-1.8505170906032826,1.1200498179967273
2022-08-23,1.0,1.2504463119698574,-0.9576406928769491,-0.9576406928769491,-0.4652372746008074,0.0,0.0,2.188893012290162,0.8138191968771156,0.0,1.6128685353716927,0.3004362958045386,1.108533172583067,1.535149202321815,-1.9152813857538917,1.2423446826511773
