day,bitcoin,ethereum,tether,usd-coin,binancecoin,binance-usd,ripple,cardano,solana,dogecoin,polkadot,shiba-inu,staked-ether,dai,matic-network,tron
2022-07-31,0.006873640608601692,0.008117472825327607,0.0,0.0,0.0044868657203458555,0.0,0.06250000000000004,0.045454545454545484,0.021299836155106486,0.0,0.0919540229885058,0.013916500994035737,0.004171011470281552,0.0,0.0,0.0
2022-08-01,0.04110276476661501,0.024259444812938343,0.04761904761904765,0.04761904761904765,0.01766113724519276,0.04761904761904765,0.0,0.0,0.031354983202687606,0.0,0.07605633802816902,0.0597609561752988,0.023271949350987257,0.04761904761904765,0.025641025641025744,0.0
2022-08-02,0.028947559247173616,0.03573136967834512,0.023255813953488306,0.023255813953488306,0.03023525513585162,0.023255813953488306,0.0,0.0,0.027288231949971622,0.0,0.056213017751479376,0.021696252465483158,0.03768698370171923,0.023255813953488306,0.05405405405405409,0.0
2022-08-03,0.03438128740615688,0.021661112535247294,0.023255813953488306,0.023255813953488306,0.05628517823639772,0.023255813953488306,0.0,0.0,0.07724550898203592,0.0,0.04705882352941163,0.013698630136986254,0.021684810404033014,0.023255813953488306,0.026315789473684136,0.0
2022-08-04,0.03927978877528381,0.01949955876910809,0.023255813953488306,0.023255813953488306,0.04279854500425661,0.023255813953488306,0.0,0.0,0.01840855106888361,0.0,0.02571428571428572,0.01757812499999994,0.02038399110942127,0.023255813953488306,0.025641025641025744,0.0
2022-08-05,0.03997169548317452,0.036913227003598,0.04651162790697677,0.04651162790697677,0.02106118829441315,0.023255813953488306,0.0,0.0,0.030534351145038146,0.0,0.047887323943661915,0.00965250965250962,0.0339529590288315,0.04651162790697677,0.025641025641025744,0.0
2022-08-06,0.016385487065214602,0.02327838377210963,0.023255813953488306,0.023255813953488306,0.023257531010041296,0.023255813953488306,0.0,0.0,0.010368663594470048,0.0,0.01881720430107529,0.013487475915221734,0.025427568241023983,0.023255813953488306,0.025641025641025744,0.0
2022-08-07,0.013999115762706973,0.013259441707717536,0.023255813953488306,0.023255813953488306,0.03778897451096622,0.023255813953488306,0.0,0.045454545454545484,0.018550724637681232,0.0,0.03260869565217397,0.005791505791505772,0.013787625180856203,0.023255813953488306,0.025641025641025744,0.0
2022-08-08,0.043924995241307774,0.028820384546666314,0.04878048780487808,0.04878048780487808,0.03778597785977862,0.04878048780487808,0.0,0.045454545454545484,0.0313390313390313,0.0,0.040214477211796204,0.04085603112840473,0.028869594970274998,0.04878048780487808,0.052631578947368446,0.0
2022-08-09,0.045329589224747176,0.02866825552080893,0.023809523809523905,0.023809523809523905,0.02942698706099808,0.023809523809523905,0.0,0.045454545454545484,0.02990224266820009,0.0,0.0371352785145889,0.058467741935483875,0.026535200045529644,0.023809523809523905,0.026315789473684136,0.0
2022-08-10,0.053991773441507976,0.052440461508947864,0.04761904761904765,0.04761904761904765,0.02438491774639687,0.04761904761904765,0.0,0.0,0.02561117578579743,0.0,0.06631299734748014,0.1999999999999999,0.05167276751511013,0.04761904761904765,0.026315789473684136,0.0
2022-08-11,0.04708324590319287,0.015647355687937303,0.04999999999999986,0.04999999999999986,0.03518754211274986,0.04999999999999986,0.0666666666666666,0.045454545454545484,0.04459691252144092,0.0,0.06036745406824152,0.025742574257425654,0.02130329195898539,0.04999999999999986,0.026315789473684136,0.0
2022-08-12,0.02345491120713121,0.014904750329439753,0.024390243902438956,0.024390243902438956,0.01297248937597857,0.024390243902438956,0.0,0.0,0.016816143497757893,0.0,0.026178010471204115,0.013671874999999953,0.013682935180551508,0.024390243902438956,0.026315789473684136,0.0
2022-08-13,0.02706253219019172,0.02356779820543378,0.02499999999999993,0.02499999999999993,0.02446575549346822,0.02499999999999993,0.0666666666666666,0.045454545454545484,0.05263157894736847,0.0,0.010389610389610502,0.023575638506876148,0.025154143453588965,0.02499999999999993,0.10526315789473673,0.0
2022-08-14,0.028050782852250586,0.022957996301561236,0.02499999999999993,0.02499999999999993,0.02023673157693773,0.02499999999999993,0.0,0.043478260869565244,0.03885590933621156,0.0,0.043478260869565244,0.34689922480620156,0.024232152560353968,0.02499999999999993,0.024390243902438956,0.0
2022-08-15,0.04139137274900623,0.02590422822210894,0.04999999999999986,0.04999999999999986,0.016687173177483864,0.04999999999999986,0.0666666666666666,0.043478260869565244,0.03579295154185032,0.0,0.027472527472527396,0.09813084112149548,0.022788554674206218,0.04999999999999986,0.02499999999999993,0.0
2022-08-16,0.019039586608918205,0.014751791197543518,0.024390243902438956,0.024390243902438956,0.012158054711246234,0.024390243902438956,0.0666666666666666,0.043478260869565244,0.015555555555555572,0.33333333333333326,0.016528925619834815,0.07255520504731869,0.014636517717544165,0.024390243902438956,0.025641025641025744,0.0
2022-08-17,0.04548764168765747,0.025090294321063585,0.04878048780487808,0.04878048780487808,0.013493939162918356,0.04878048780487808,0.0,0.043478260869565244,0.0461801596351198,0.33333333333333326,0.053072625698324105,0.038109756097561,0.023028565416381562,0.04878048780487808,0.052631578947368446,0.0
2022-08-18,0.011252411092895705,0.02229933153033627,0.0,0.023809523809523905,0.018170619032953503,0.0,0.0,0.0,0.020219526285384225,0.33333333333333326,0.016759776536312956,0.08019639934533558,0.023169978852796917,0.023809523809523905,0.026315789473684136,0.0
2022-08-19,0.09520730566452684,0.015709923857546527,0.09302325581395338,0.09302325581395338,0.046780880857388824,0.09302325581395338,0.0,0.045454545454545484,0.06812652068126515,0.0,0.061946902654867325,0.125874125874126,0.014900683816346547,0.09302325581395338,0.05555555555555559,0.0
2022-08-20,0.022746771075674587,0.06391980993566644,0.021276595744680937,0.021276595744680937,0.020841170717026517,0.021276595744680937,0.0,0.04761904761904765,0.035608308605341206,0.0,0.026239067055393594,0.06301824212271968,0.06677121162099699,0.021276595744680937,0.05555555555555559,0.0
2022-08-21,0.02367306681695975,0.02577033842160064,0.021276595744680937,0.021276595744680937,0.04839798904479626,0.021276595744680937,0.0,0.04761904761904765,0.03039513677811545,0.0,0.023598820058996984,0.03150912106135993,0.03033221663874942,0.043478260869565244,0.027027027027027136,0.0
2022-08-22,0.02900317583585773,0.02669457545566998,0.043478260869565244,0.043478260869565244,0.019160981274495597,0.043478260869565244,0.0,0.04761904761904765,0.06265508684863522,0.0,0.02976190476190484,0.04283360790774302,0.027084878076078196,0.043478260869565244,0.027027027027027136,0.0
2022-08-23,0.025946579341082365,0.03783397782239056,0.043478260869565244,0.043478260869565244,0.02281094347794691,0.043478260869565244,0.0,0.04761904761904765,0.017704517704517805,0.0,0.04678362573099402,0.013093289689034495,0.03262969094922726,0.043478260869565244,0.027027027027027136,0.0
2022-08-24,0.024226197295586113,0.02460829493087552,0.02173913043478255,0.02173913043478255,0.015833817547937206,0.02173913043478255,0.0,0.04761904761904765,0.022699386503067572,0.0,0.014245014245014127,0.011437908496732157,0.026301525786606657,0.02173913043478255,0.026315789473684136,0.0
2022-08-25,0.016828782724905376,0.02706172199170132,0.02173913043478255,0.02173913043478255,0.020792439113049784,0.02173913043478255,0.0,0.04761904761904765,0.022018348623853216,0.0,0.022922636103151796,0.09852216748768473,0.023432417721014866,0.02173913043478255,0.0,0.0
2022-08-26,0.05091786617742151,0.04862539990176687,0.043478260869565244,0.043478260869565244,0.01641249092229488,0.043478260869565244,0.06250000000000004,0.04761904761904765,0.04205900816070308,0.0,0.026239067055393594,0.043618739903069484,0.0511794353461817,0.043478260869565244,0.027027027027027136,0.0
2022-08-27,0.035883661014096346,0.027599058721112166,0.04166666666666669,0.04166666666666669,0.023394796297645952,0.04166666666666669,0.06250000000000004,0.04761904761904765,0.0256904303147077,0.0,0.029325513196481016,0.04347826086956524,0.02817711328349622,0.04166666666666669,0.052631578947368446,0.0
2022-08-28,0.007467350734561409,0.015264996533772113,0.0,0.0,0.01977401129943495,0.0,0.0,0.045454545454545484,0.017230376515634905,0.0,0.008547008547008446,0.024875621890547348,0.01709113870764065,0.0,0.04999999999999986,0.0
2022-08-29,0.0341330416979284,0.042964141677412214,0.04081632653061227,0.04081632653061227,0.024572339808640244,0.04081632653061227,0.06250000000000004,0.0,0.03992146596858629,0.0,0.022922636103151796,0.026622296173045006,0.046007276227686515,0.04081632653061227,0.051282051282051315,0.0
2022-08-30,0.019844198890630903,0.02557251908396947,0.020408163265306204,0.020408163265306204,0.01795293612760171,0.020408163265306204,0.06250000000000004,0.0,0.02738853503184718,0.0,0.008426966292134885,0.013071895424836727,0.02556679833342355,0.020408163265306204,0.02499999999999993,0.0
